;  >>> GROUND LAYOUT <<<
;====================================================================================================
;GND FILES
;
; >>> EKCH - København Kastrup <<<
;
; RWY outer markings
N055.37.26.607 E012.38.57.691 N055.37.26.237 E012.38.57.131 COLOR_HardSurface1 ; C36
N055.37.26.237 E012.38.57.131 N055.37.26.237 E012.38.56.754 COLOR_HardSurface1 ; C36
N055.37.26.237 E012.38.56.754 N055.37.26.044 E012.38.56.544 COLOR_HardSurface1 ; C36
N055.37.26.044 E012.38.56.544 N055.37.25.880 E012.38.56.136 COLOR_HardSurface1 ; C36
;
N055.37.26.319 E012.39.04.983 N055.37.26.292 E012.39.02.879 COLOR_HardSurface1 ; C37
N055.37.26.292 E012.39.02.879 N055.37.26.566 E012.39.02.563 COLOR_HardSurface1 ; C37
N055.37.26.566 E012.39.02.563 N055.37.26.566 E012.39.02.305 COLOR_HardSurface1 ; C37
N055.37.26.566 E012.39.02.305 N055.37.27.212 E012.39.01.083 COLOR_HardSurface1 ; C37
N055.37.27.212 E012.39.01.083 N055.37.27.212 E012.39.00.802 COLOR_HardSurface1 ; C37
N055.37.27.212 E012.39.00.802 N055.37.27.239 E012.39.00.551 COLOR_HardSurface1 ; C37
N055.37.27.239 E012.39.00.551 N055.37.27.280 E012.39.00.345 COLOR_HardSurface1 ; C37
N055.37.27.280 E012.39.00.345 N055.37.27.349 E012.39.00.211 COLOR_HardSurface1 ; C37
N055.37.27.349 E012.39.00.211 N055.37.27.431 E012.39.00.153 COLOR_HardSurface1 ; C37
N055.37.27.431 E012.39.00.153 N055.37.27.500 E012.39.00.163 COLOR_HardSurface1 ; C37
N055.37.27.500 E012.39.00.163 N055.37.27.555 E012.39.00.218 COLOR_HardSurface1 ; C37
N055.37.27.555 E012.39.00.218 N055.37.27.624 E012.39.00.345 COLOR_HardSurface1 ; C37
N055.37.27.624 E012.39.00.345 N055.37.27.651 E012.39.00.451 COLOR_HardSurface1 ; C37
N055.37.27.651 E012.39.00.451 N055.37.27.679 E012.39.00.630 COLOR_HardSurface1 ; C37
N055.37.27.679 E012.39.00.630 N055.37.27.967 E012.39.00.623 COLOR_HardSurface1 ; C37
N055.37.27.967 E012.39.00.623 N055.37.27.981 E012.39.01.533 COLOR_HardSurface1 ; C37
N055.37.27.981 E012.39.01.533 N055.37.28.393 E012.39.02.216 COLOR_HardSurface1 ; C37
N055.37.28.393 E012.39.02.216 N055.37.28.393 E012.39.02.491 COLOR_HardSurface1 ; C37
N055.37.28.393 E012.39.02.491 N055.37.28.681 E012.39.02.786 COLOR_HardSurface1 ; C37
N055.37.28.681 E012.39.02.786 N055.37.28.709 E012.39.04.575 COLOR_HardSurface1 ; C37
;
N055.37.29.038 E012.39.04.513 N055.37.29.011 E012.39.02.576 COLOR_HardSurface1 ; C35
N055.37.29.011 E012.39.02.576 N055.37.29.217 E012.39.02.333 COLOR_HardSurface1 ; C35
N055.37.29.217 E012.39.02.333 N055.37.29.217 E012.39.01.897 COLOR_HardSurface1 ; C35
N055.37.29.217 E012.39.01.897 N055.37.29.725 E012.39.01.083 COLOR_HardSurface1 ; C35
N055.37.29.725 E012.39.01.083 N055.37.29.931 E012.39.01.100 COLOR_HardSurface1 ; C35
N055.37.29.931 E012.39.01.100 N055.37.29.931 E012.39.00.568 COLOR_HardSurface1 ; C35
N055.37.29.931 E012.39.00.568 N055.37.30.041 E012.39.00.019 COLOR_HardSurface1 ; C35
N055.37.30.041 E012.39.00.019 N055.37.30.302 E012.39.00.008 COLOR_HardSurface1 ; C35
N055.37.30.302 E012.39.00.008 N055.37.30.439 E012.39.00.582 COLOR_HardSurface1 ; C35
N055.37.30.439 E012.39.00.582 N055.37.30.439 E012.39.01.042 COLOR_HardSurface1 ; C35
N055.37.30.439 E012.39.01.042 N055.37.30.672 E012.39.01.035 COLOR_HardSurface1 ; C35
N055.37.30.672 E012.39.01.035 N055.37.31.181 E012.39.01.804 COLOR_HardSurface1 ; C35
N055.37.31.181 E012.39.01.804 N055.37.31.194 E012.39.02.243 COLOR_HardSurface1 ; C35
N055.37.31.194 E012.39.02.243 N055.37.31.414 E012.39.02.463 COLOR_HardSurface1 ; C35
N055.37.31.414 E012.39.02.463 N055.37.31.428 E012.39.04.221 COLOR_HardSurface1 ; C35
;
N055.37.31.400 E012.39.04.221 N055.37.31.359 E012.39.02.357 COLOR_HardSurface1 ; C33
N055.37.31.359 E012.39.02.357 N055.37.31.551 E012.39.02.020 COLOR_HardSurface1 ; C33
N055.37.31.551 E012.39.02.020 N055.37.31.551 E012.39.01.756 COLOR_HardSurface1 ; C33
N055.37.31.551 E012.39.01.756 N055.37.32.293 E012.39.00.565 COLOR_HardSurface1 ; C33
N055.37.32.293 E012.39.00.565 N055.37.32.279 E012.39.00.256 COLOR_HardSurface1 ; C33
N055.37.32.279 E012.39.00.256 N055.37.32.416 E012.38.59.555 COLOR_HardSurface1 ; C33
N055.37.32.416 E012.38.59.555 N055.37.32.636 E012.38.59.548 COLOR_HardSurface1 ; C33
N055.37.32.636 E012.38.59.548 N055.37.32.774 E012.39.00.036 COLOR_HardSurface1 ; C33
N055.37.32.774 E012.39.00.036 N055.37.32.787 E012.39.00.894 COLOR_HardSurface1 ; C33
N055.37.32.787 E012.39.00.894 N055.37.33.048 E012.39.00.956 COLOR_HardSurface1 ; C33
N055.37.33.048 E012.39.00.956 N055.37.33.405 E012.39.01.454 COLOR_HardSurface1 ; C33
N055.37.33.405 E012.39.01.454 N055.37.33.501 E012.39.01.732 COLOR_HardSurface1 ; C33
N055.37.33.501 E012.39.01.732 N055.37.33.515 E012.39.02.079 COLOR_HardSurface1 ; C33
N055.37.33.515 E012.39.02.079 N055.37.33.872 E012.39.02.425 COLOR_HardSurface1 ; C33
N055.37.33.872 E012.39.02.425 N055.37.33.872 E012.39.04.087 COLOR_HardSurface1 ; C33
;
N055.37.33.721 E012.39.04.094 N055.37.33.845 E012.39.02.446 COLOR_HardSurface1 ; C29
N055.37.33.845 E012.39.02.446 N055.37.34.133 E012.39.01.701 COLOR_HardSurface1 ; C29
N055.37.34.133 E012.39.01.701 N055.37.34.806 E012.39.00.935 COLOR_HardSurface1 ; C29
N055.37.34.806 E012.39.00.935 N055.37.34.957 E012.39.00.953 COLOR_HardSurface1 ; C29
N055.37.34.957 E012.39.00.953 N055.37.35.012 E012.39.00.328 COLOR_HardSurface1 ; C29
N055.37.35.012 E012.39.00.328 N055.37.35.177 E012.38.59.878 COLOR_HardSurface1 ; C29
N055.37.35.177 E012.38.59.878 N055.37.35.410 E012.38.59.943 COLOR_HardSurface1 ; C29
N055.37.35.410 E012.38.59.943 N055.37.35.493 E012.39.00.530 COLOR_HardSurface1 ; C29
N055.37.35.493 E012.39.00.530 N055.37.35.850 E012.39.00.654 COLOR_HardSurface1 ; C29
N055.37.35.850 E012.39.00.654 N055.37.35.767 E012.39.01.526 COLOR_HardSurface1 ; C29
N055.37.35.767 E012.39.01.526 N055.37.36.069 E012.39.02.185 COLOR_HardSurface1 ; C29
N055.37.36.069 E012.39.02.185 N055.37.36.303 E012.39.03.129 COLOR_HardSurface1 ; C29
N055.37.36.303 E012.39.03.129 N055.37.36.166 E012.39.04.787 COLOR_HardSurface1 ; C29
;
N055.37.35.987 E012.39.04.777 N055.37.36.303 E012.39.03.150 COLOR_HardSurface1 ; C27
N055.37.36.303 E012.39.03.150 N055.37.36.399 E012.39.02.882 COLOR_HardSurface1 ; C27
N055.37.36.399 E012.39.02.882 N055.37.36.742 E012.39.02.604 COLOR_HardSurface1 ; C27
N055.37.36.742 E012.39.02.604 N055.37.36.838 E012.39.02.182 COLOR_HardSurface1 ; C27
N055.37.36.838 E012.39.02.182 N055.37.37.182 E012.39.01.797 COLOR_HardSurface1 ; C27
N055.37.37.182 E012.39.01.797 N055.37.37.429 E012.39.01.952 COLOR_HardSurface1 ; C27
N055.37.37.429 E012.39.01.952 N055.37.37.456 E012.39.02.374 COLOR_HardSurface1 ; C27
N055.37.37.456 E012.39.02.374 N055.37.37.388 E012.39.02.717 COLOR_HardSurface1 ; C27
N055.37.37.388 E012.39.02.717 N055.37.37.470 E012.39.02.841 COLOR_HardSurface1 ; C27
N055.37.37.470 E012.39.02.841 N055.37.37.704 E012.39.03.685 COLOR_HardSurface1 ; C27
N055.37.37.704 E012.39.03.685 N055.37.37.676 E012.39.04.070 COLOR_HardSurface1 ; C27
N055.37.37.676 E012.39.04.070 N055.37.37.539 E012.39.04.722 COLOR_HardSurface1 ; C27
;
N055.37.37.580 E012.39.05.361 N055.37.38.349 E012.39.05.282 COLOR_HardSurface1 ; D1
N055.37.38.349 E012.39.05.282 N055.37.39.077 E012.39.06.205 COLOR_HardSurface1 ; D1
N055.37.39.077 E012.39.06.205 N055.37.39.159 E012.39.06.212 COLOR_HardSurface1 ; D1
N055.37.39.159 E012.39.06.212 N055.37.39.173 E012.39.06.779 COLOR_HardSurface1 ; D1
N055.37.39.173 E012.39.06.779 N055.37.39.118 E012.39.06.789 COLOR_HardSurface1 ; D1
N055.37.39.118 E012.39.06.789 N055.37.38.445 E012.39.07.843 COLOR_HardSurface1 ; D1
N055.37.38.445 E012.39.07.843 N055.37.37.374 E012.39.07.967 COLOR_HardSurface1 ; D1
N055.37.37.374 E012.39.07.967 N055.37.37.072 E012.39.08.155 COLOR_HardSurface1 ; D1
;
N055.37.37.127 E012.39.07.616 N055.37.38.184 E012.39.07.833 COLOR_HardSurface1 ; D2
N055.37.38.184 E012.39.07.833 N055.37.38.816 E012.39.08.959 COLOR_HardSurface1 ; D2
N055.37.38.816 E012.39.08.959 N055.37.38.898 E012.39.08.973 COLOR_HardSurface1 ; D2
N055.37.38.898 E012.39.08.973 N055.37.38.857 E012.39.09.539 COLOR_HardSurface1 ; D2
N055.37.38.857 E012.39.09.539 N055.37.38.775 E012.39.09.536 COLOR_HardSurface1 ; D2
N055.37.38.775 E012.39.09.536 N055.37.38.020 E012.39.10.380 COLOR_HardSurface1 ; D2
N055.37.38.020 E012.39.10.380 N055.37.36.838 E012.39.10.143 COLOR_HardSurface1 ; D2
;
N055.37.36.866 E012.39.09.882 N055.37.38.006 E012.39.10.466 COLOR_HardSurface1 ; D3
N055.37.38.006 E012.39.10.466 N055.37.38.514 E012.39.11.788 COLOR_HardSurface1 ; D3
N055.37.38.514 E012.39.11.788 N055.37.38.583 E012.39.11.826 COLOR_HardSurface1 ; D3
N055.37.38.583 E012.39.11.826 N055.37.38.500 E012.39.12.358 COLOR_HardSurface1 ; D3
N055.37.38.500 E012.39.12.358 N055.37.38.445 E012.39.12.337 COLOR_HardSurface1 ; D3
N055.37.38.445 E012.39.12.337 N055.37.37.594 E012.39.12.931 COLOR_HardSurface1 ; D3
N055.37.37.594 E012.39.12.931 N055.37.36.536 E012.39.12.385 COLOR_HardSurface1 ; D3
;
N055.37.36.591 E012.39.12.210 N055.37.37.621 E012.39.13.127 COLOR_HardSurface1 ; D4
N055.37.37.621 E012.39.13.127 N055.37.37.992 E012.39.14.548 COLOR_HardSurface1 ; D4
N055.37.37.992 E012.39.14.548 N055.37.37.827 E012.39.15.118 COLOR_HardSurface1 ; D4
N055.37.37.827 E012.39.15.118 N055.37.36.990 E012.39.15.448 COLOR_HardSurface1 ; D4
N055.37.36.990 E012.39.15.448 N055.37.35.822 E012.39.14.404 COLOR_HardSurface1 ; D4
;
N055.37.36.262 E012.39.13.360 N055.37.36.289 E012.39.16.509 COLOR_HardSurface1 ; E20
N055.37.36.289 E012.39.16.509 N055.37.35.795 E012.39.17.429 COLOR_HardSurface1 ; E20
N055.37.35.795 E012.39.17.429 N055.37.35.781 E012.39.17.796 COLOR_HardSurface1 ; E20
N055.37.35.781 E012.39.17.796 N055.37.35.369 E012.39.17.796 COLOR_HardSurface1 ; E20
N055.37.35.369 E012.39.17.796 N055.37.34.847 E012.39.16.673 COLOR_HardSurface1 ; E20
N055.37.34.847 E012.39.16.673 N055.37.34.806 E012.39.14.270 COLOR_HardSurface1 ; E20
;
N055.37.35.534 E012.39.17.793 N055.37.34.833 E012.39.18.489 COLOR_HardSurface1 ; E22
N055.37.34.833 E012.39.18.489 N055.37.34.833 E012.39.18.575 COLOR_HardSurface1 ; E22
N055.37.34.833 E012.39.18.575 N055.37.34.682 E012.39.18.558 COLOR_HardSurface1 ; E22
N055.37.34.682 E012.39.18.558 N055.37.34.669 E012.39.18.974 COLOR_HardSurface1 ; E22
N055.37.34.669 E012.39.18.974 N055.37.34.504 E012.39.19.568 COLOR_HardSurface1 ; E22
N055.37.34.504 E012.39.19.568 N055.37.34.243 E012.39.19.581 COLOR_HardSurface1 ; E22
N055.37.34.243 E012.39.19.581 N055.37.34.133 E012.39.18.922 COLOR_HardSurface1 ; E22
N055.37.34.133 E012.39.18.922 N055.37.34.161 E012.39.18.469 COLOR_HardSurface1 ; E22
N055.37.34.161 E012.39.18.469 N055.37.34.078 E012.39.18.325 COLOR_HardSurface1 ; E22
;
N055.37.34.710 E012.39.14.277 N055.37.34.737 E012.39.16.666 COLOR_HardSurface1 ; E24
N055.37.34.737 E012.39.16.666 N055.37.34.243 E012.39.18.325 COLOR_HardSurface1 ; E24
N055.37.34.243 E012.39.18.325 N055.37.33.749 E012.39.18.328 COLOR_HardSurface1 ; E24
N055.37.33.749 E012.39.18.328 N055.37.33.652 E012.39.17.672 COLOR_HardSurface1 ; E24
N055.37.33.652 E012.39.17.672 N055.37.33.419 E012.39.17.641 COLOR_HardSurface1 ; E24
N055.37.33.419 E012.39.17.641 N055.37.33.392 E012.39.17.013 COLOR_HardSurface1 ; E24
N055.37.33.392 E012.39.17.013 N055.37.33.089 E012.39.16.519 COLOR_HardSurface1 ; E24
N055.37.33.089 E012.39.16.519 N055.37.33.213 E012.39.14.328 COLOR_HardSurface1 ; E24
;
N055.37.32.774 E012.39.14.352 N055.37.32.787 E012.39.15.784 COLOR_HardSurface1 ; E36
N055.37.32.787 E012.39.15.784 N055.37.32.691 E012.39.16.258 COLOR_HardSurface1 ; E36
N055.37.32.691 E012.39.16.258 N055.37.32.458 E012.39.16.430 COLOR_HardSurface1 ; E36
N055.37.32.458 E012.39.16.430 N055.37.32.458 E012.39.16.862 COLOR_HardSurface1 ; E36
N055.37.32.458 E012.39.16.862 N055.37.32.293 E012.39.16.876 COLOR_HardSurface1 ; E36
N055.37.32.293 E012.39.16.876 N055.37.32.293 E012.39.17.439 COLOR_HardSurface1 ; E36
N055.37.32.293 E012.39.17.439 N055.37.32.073 E012.39.17.470 COLOR_HardSurface1 ; E36
N055.37.32.073 E012.39.17.470 N055.37.31.867 E012.39.17.343 COLOR_HardSurface1 ; E36
N055.37.31.867 E012.39.17.343 N055.37.31.867 E012.39.17.089 COLOR_HardSurface1 ; E36
N055.37.31.867 E012.39.17.089 N055.37.31.689 E012.39.17.096 COLOR_HardSurface1 ; E36
N055.37.31.689 E012.39.17.096 N055.37.31.689 E012.39.16.457 COLOR_HardSurface1 ; E36
N055.37.31.689 E012.39.16.457 N055.37.31.455 E012.39.16.323 COLOR_HardSurface1 ; E36
N055.37.31.455 E012.39.16.323 N055.37.31.332 E012.39.15.849 COLOR_HardSurface1 ; E36
N055.37.31.332 E012.39.15.849 N055.37.31.318 E012.39.14.401 COLOR_HardSurface1 ; E36
;
N055.37.24.190 E012.39.16.818 N055.37.24.987 E012.39.17.878 COLOR_HardSurface1 ; F98
N055.37.24.987 E012.39.17.878 N055.37.25.220 E012.39.18.287 COLOR_HardSurface1 ; F98
N055.37.25.220 E012.39.18.287 N055.37.25.344 E012.39.18.634 COLOR_HardSurface1 ; F98
N055.37.25.344 E012.39.18.634 N055.37.25.372 E012.39.18.898 COLOR_HardSurface1 ; F98
N055.37.25.372 E012.39.18.898 N055.37.25.372 E012.39.19.252 COLOR_HardSurface1 ; F98
N055.37.25.372 E012.39.19.252 N055.37.25.344 E012.39.19.588 COLOR_HardSurface1 ; F98
N055.37.25.344 E012.39.19.588 N055.37.25.262 E012.39.19.942 COLOR_HardSurface1 ; F98
N055.37.25.262 E012.39.19.942 N055.37.25.124 E012.39.20.244 COLOR_HardSurface1 ; F98
N055.37.25.124 E012.39.20.244 N055.37.24.960 E012.39.20.481 COLOR_HardSurface1 ; F98
N055.37.24.960 E012.39.20.481 N055.37.24.767 E012.39.20.642 COLOR_HardSurface1 ; F98
N055.37.24.767 E012.39.20.642 N055.37.24.589 E012.39.20.700 COLOR_HardSurface1 ; F98
N055.37.24.589 E012.39.20.700 N055.37.24.190 E012.39.20.714 COLOR_HardSurface1 ; F98
;
N055.37.24.190 E012.39.19.688 N055.37.25.083 E012.39.20.900 COLOR_HardSurface1 ; F96
N055.37.25.083 E012.39.20.900 N055.37.25.248 E012.39.21.202 COLOR_HardSurface1 ; F96
N055.37.25.248 E012.39.21.202 N055.37.25.344 E012.39.21.514 COLOR_HardSurface1 ; F96
N055.37.25.344 E012.39.21.514 N055.37.25.399 E012.39.21.796 COLOR_HardSurface1 ; F96
N055.37.25.399 E012.39.21.796 N055.37.25.413 E012.39.22.057 COLOR_HardSurface1 ; F96
N055.37.25.413 E012.39.22.057 N055.37.25.399 E012.39.22.362 COLOR_HardSurface1 ; F96
N055.37.25.399 E012.39.22.362 N055.37.25.358 E012.39.22.602 COLOR_HardSurface1 ; F96
N055.37.25.358 E012.39.22.602 N055.37.25.275 E012.39.22.925 COLOR_HardSurface1 ; F96
N055.37.25.275 E012.39.22.925 N055.37.25.138 E012.39.23.238 COLOR_HardSurface1 ; F96
N055.37.25.138 E012.39.23.238 N055.37.24.960 E012.39.23.464 COLOR_HardSurface1 ; F96
N055.37.24.960 E012.39.23.464 N055.37.24.808 E012.39.23.578 COLOR_HardSurface1 ; F96
N055.37.24.808 E012.39.23.578 N055.37.24.630 E012.39.23.646 COLOR_HardSurface1 ; F96
N055.37.24.630 E012.39.23.646 N055.37.24.232 E012.39.23.663 COLOR_HardSurface1 ; F96
;
N055.37.24.218 E012.39.22.609 N055.37.25.111 E012.39.23.835 COLOR_HardSurface1 ; F94
N055.37.25.111 E012.39.23.835 N055.37.25.303 E012.39.24.168 COLOR_HardSurface1 ; F94
N055.37.25.303 E012.39.24.168 N055.37.25.413 E012.39.24.559 COLOR_HardSurface1 ; F94
N055.37.25.413 E012.39.24.559 N055.37.25.454 E012.39.24.978 COLOR_HardSurface1 ; F94
N055.37.25.454 E012.39.24.978 N055.37.25.440 E012.39.25.342 COLOR_HardSurface1 ; F94
N055.37.25.440 E012.39.25.342 N055.37.25.385 E012.39.25.631 COLOR_HardSurface1 ; F94
N055.37.25.385 E012.39.25.631 N055.37.25.234 E012.39.26.070 COLOR_HardSurface1 ; F94
N055.37.25.234 E012.39.26.070 N055.37.25.083 E012.39.26.331 COLOR_HardSurface1 ; F94
N055.37.25.083 E012.39.26.331 N055.37.24.877 E012.39.26.506 COLOR_HardSurface1 ; F94
N055.37.24.877 E012.39.26.506 N055.37.24.699 E012.39.26.582 COLOR_HardSurface1 ; F94
N055.37.24.699 E012.39.26.582 N055.37.24.273 E012.39.26.609 COLOR_HardSurface1 ; F94
;
N055.37.24.259 E012.39.25.576 N055.37.25.207 E012.39.26.867 COLOR_HardSurface1 ; F92
N055.37.25.207 E012.39.26.867 N055.37.25.358 E012.39.27.186 COLOR_HardSurface1 ; F92
N055.37.25.358 E012.39.27.186 N055.37.25.454 E012.39.27.550 COLOR_HardSurface1 ; F92
N055.37.25.454 E012.39.27.550 N055.37.25.481 E012.39.27.845 COLOR_HardSurface1 ; F92
N055.37.25.481 E012.39.27.845 N055.37.25.495 E012.39.28.137 COLOR_HardSurface1 ; F92
N055.37.25.495 E012.39.28.137 N055.37.25.468 E012.39.28.439 COLOR_HardSurface1 ; F92
N055.37.25.468 E012.39.28.439 N055.37.25.385 E012.39.28.741 COLOR_HardSurface1 ; F92
N055.37.25.385 E012.39.28.741 N055.37.25.275 E012.39.29.036 COLOR_HardSurface1 ; F92
N055.37.25.275 E012.39.29.036 N055.37.25.138 E012.39.29.242 COLOR_HardSurface1 ; F92
N055.37.25.138 E012.39.29.242 N055.37.24.973 E012.39.29.421 COLOR_HardSurface1 ; F92
N055.37.24.973 E012.39.29.421 N055.37.24.822 E012.39.29.500 COLOR_HardSurface1 ; F92
N055.37.24.822 E012.39.29.500 N055.37.24.671 E012.39.29.534 COLOR_HardSurface1 ; F92
N055.37.24.671 E012.39.29.534 N055.37.24.314 E012.39.29.555 COLOR_HardSurface1 ; F92
;
N055.37.24.300 E012.39.28.518 N055.37.25.248 E012.39.29.799 COLOR_HardSurface1 ; F90
N055.37.25.248 E012.39.29.799 N055.37.25.385 E012.39.30.073 COLOR_HardSurface1 ; F90
N055.37.25.385 E012.39.30.073 N055.37.25.468 E012.39.30.372 COLOR_HardSurface1 ; F90
N055.37.25.468 E012.39.30.372 N055.37.25.523 E012.39.30.746 COLOR_HardSurface1 ; F90
N055.37.25.523 E012.39.30.746 N055.37.25.523 E012.39.31.134 COLOR_HardSurface1 ; F90
N055.37.25.523 E012.39.31.134 N055.37.25.481 E012.39.31.464 COLOR_HardSurface1 ; F90
N055.37.25.481 E012.39.31.464 N055.37.25.399 E012.39.31.755 COLOR_HardSurface1 ; F90
N055.37.25.399 E012.39.31.755 N055.37.25.275 E012.39.32.023 COLOR_HardSurface1 ; F90
N055.37.25.275 E012.39.32.023 N055.37.25.111 E012.39.32.270 COLOR_HardSurface1 ; F90
N055.37.25.111 E012.39.32.270 N055.37.24.932 E012.39.32.408 COLOR_HardSurface1 ; F90
N055.37.24.932 E012.39.32.408 N055.37.24.795 E012.39.32.473 COLOR_HardSurface1 ; F90
N055.37.24.795 E012.39.32.473 N055.37.24.438 E012.39.32.459 COLOR_HardSurface1 ; F90
;
N055.37.24.493 E012.39.33.139 N055.37.26.690 E012.39.33.050 COLOR_HardSurface1 ; F89/1
;
N055.37.26.717 E012.39.35.614 N055.37.25.619 E012.39.35.662 COLOR_HardSurface1 ; F89/2
;
N055.37.26.690 E012.39.32.679 N055.37.25.729 E012.39.31.354 COLOR_HardSurface1 ; F91
N055.37.25.729 E012.39.31.354 N055.37.25.564 E012.39.30.997 COLOR_HardSurface1 ; F91
N055.37.25.564 E012.39.30.997 N055.37.25.481 E012.39.30.657 COLOR_HardSurface1 ; F91
N055.37.25.481 E012.39.30.657 N055.37.25.454 E012.39.30.355 COLOR_HardSurface1 ; F91
N055.37.25.454 E012.39.30.355 N055.37.25.468 E012.39.29.953 COLOR_HardSurface1 ; F91
N055.37.25.468 E012.39.29.953 N055.37.25.523 E012.39.29.603 COLOR_HardSurface1 ; F91
N055.37.25.523 E012.39.29.603 N055.37.25.605 E012.39.29.332 COLOR_HardSurface1 ; F91
N055.37.25.605 E012.39.29.332 N055.37.25.715 E012.39.29.102 COLOR_HardSurface1 ; F91
N055.37.25.715 E012.39.29.102 N055.37.25.866 E012.39.28.920 COLOR_HardSurface1 ; F91
N055.37.25.866 E012.39.28.920 N055.37.26.044 E012.39.28.751 COLOR_HardSurface1 ; F91
N055.37.26.044 E012.39.28.751 N055.37.26.209 E012.39.28.700 COLOR_HardSurface1 ; F91
N055.37.26.209 E012.39.28.700 N055.37.26.635 E012.39.28.666 COLOR_HardSurface1 ; F91
;
N055.37.26.649 E012.39.29.733 N055.37.25.715 E012.39.28.456 COLOR_HardSurface1 ; F93
N055.37.25.715 E012.39.28.456 N055.37.25.564 E012.39.28.192 COLOR_HardSurface1 ; F93
N055.37.25.564 E012.39.28.192 N055.37.25.468 E012.39.27.869 COLOR_HardSurface1 ; F93
N055.37.25.468 E012.39.27.869 N055.37.25.413 E012.39.27.577 COLOR_HardSurface1 ; F93
N055.37.25.413 E012.39.27.577 N055.37.25.399 E012.39.27.234 COLOR_HardSurface1 ; F93
N055.37.25.399 E012.39.27.234 N055.37.25.426 E012.39.26.928 COLOR_HardSurface1 ; F93
N055.37.25.426 E012.39.26.928 N055.37.25.509 E012.39.26.558 COLOR_HardSurface1 ; F93
N055.37.25.509 E012.39.26.558 N055.37.25.605 E012.39.26.283 COLOR_HardSurface1 ; F93
N055.37.25.605 E012.39.26.283 N055.37.25.770 E012.39.26.036 COLOR_HardSurface1 ; F93
N055.37.25.770 E012.39.26.036 N055.37.25.921 E012.39.25.861 COLOR_HardSurface1 ; F93
N055.37.25.921 E012.39.25.861 N055.37.26.113 E012.39.25.761 COLOR_HardSurface1 ; F93
N055.37.26.113 E012.39.25.761 N055.37.26.594 E012.39.25.730 COLOR_HardSurface1 ; F93
;
N055.37.26.621 E012.39.26.784 N055.37.25.660 E012.39.25.480 COLOR_HardSurface1 ; F95
N055.37.25.660 E012.39.25.480 N055.37.25.509 E012.39.25.191 COLOR_HardSurface1 ; F95
N055.37.25.509 E012.39.25.191 N055.37.25.413 E012.39.24.858 COLOR_HardSurface1 ; F95
N055.37.25.413 E012.39.24.858 N055.37.25.372 E012.39.24.518 COLOR_HardSurface1 ; F95
N055.37.25.372 E012.39.24.518 N055.37.25.372 E012.39.24.171 COLOR_HardSurface1 ; F95
N055.37.25.372 E012.39.24.171 N055.37.25.426 E012.39.23.818 COLOR_HardSurface1 ; F95
N055.37.25.426 E012.39.23.818 N055.37.25.509 E012.39.23.523 COLOR_HardSurface1 ; F95
N055.37.25.509 E012.39.23.523 N055.37.25.605 E012.39.23.272 COLOR_HardSurface1 ; F95
N055.37.25.605 E012.39.23.272 N055.37.25.715 E012.39.23.100 COLOR_HardSurface1 ; F95
N055.37.25.715 E012.39.23.100 N055.37.25.866 E012.39.22.929 COLOR_HardSurface1 ; F95
N055.37.25.866 E012.39.22.929 N055.37.26.031 E012.39.22.833 COLOR_HardSurface1 ; F95
N055.37.26.031 E012.39.22.833 N055.37.26.154 E012.39.22.791 COLOR_HardSurface1 ; F95
N055.37.26.154 E012.39.22.791 N055.37.26.553 E012.39.22.788 COLOR_HardSurface1 ; F95
;
N055.37.26.566 E012.39.23.845 N055.37.25.701 E012.39.22.644 COLOR_HardSurface1 ; F97
N055.37.25.701 E012.39.22.644 N055.37.25.509 E012.39.22.321 COLOR_HardSurface1 ; F97
N055.37.25.509 E012.39.22.321 N055.37.25.399 E012.39.22.022 COLOR_HardSurface1 ; F97
N055.37.25.399 E012.39.22.022 N055.37.25.358 E012.39.21.727 COLOR_HardSurface1 ; F97
N055.37.25.358 E012.39.21.727 N055.37.25.330 E012.39.21.463 COLOR_HardSurface1 ; F97
N055.37.25.330 E012.39.21.463 N055.37.25.330 E012.39.21.212 COLOR_HardSurface1 ; F97
N055.37.25.330 E012.39.21.212 N055.37.25.385 E012.39.20.872 COLOR_HardSurface1 ; F97
N055.37.25.385 E012.39.20.872 N055.37.25.440 E012.39.20.635 COLOR_HardSurface1 ; F97
N055.37.25.440 E012.39.20.635 N055.37.25.523 E012.39.20.416 COLOR_HardSurface1 ; F97
N055.37.25.523 E012.39.20.416 N055.37.25.646 E012.39.20.199 COLOR_HardSurface1 ; F97
N055.37.25.646 E012.39.20.199 N055.37.25.783 E012.39.20.045 COLOR_HardSurface1 ; F97
N055.37.25.783 E012.39.20.045 N055.37.25.921 E012.39.19.921 COLOR_HardSurface1 ; F97
N055.37.25.921 E012.39.19.921 N055.37.26.058 E012.39.19.863 COLOR_HardSurface1 ; F97
N055.37.26.058 E012.39.19.863 N055.37.26.525 E012.39.19.832 COLOR_HardSurface1 ; F97
;
N055.37.29.354 E012.39.14.754 N055.37.30.425 E012.39.15.582 COLOR_HardSurface1 ; F1
N055.37.30.425 E012.39.15.582 N055.37.30.576 E012.39.15.818 COLOR_HardSurface1 ; F1
N055.37.30.576 E012.39.15.818 N055.37.30.590 E012.39.16.313 COLOR_HardSurface1 ; F1
N055.37.30.590 E012.39.16.313 N055.37.30.810 E012.39.16.484 COLOR_HardSurface1 ; F1
